Timestamp,consent  ,Gender?,Frequency of use, Primary reason for using TikTok .,Duration of use,Personalized_For You,tiktok_recommendation_accuracy,tiktok_repeated_exposure,tiktok_algorithm_influence,tiktok_content_diversity,tiktok_algorithm_awareness,tiktok_algorithm_modification,tiktok_alternative_viewpoints,tiktok_recommendation_control,tiktok_echo_chamber_opinion,tiktok_user_control_opinion,tiktok_diversification_strategies
2025/03/24 8:49:28 PM GMT+3,YES,Male,Multiple times a day,Entertainment,1 to 2 years,4,Often,"Yes, frequently","Yes, significantly",4,Very aware,"Yes, occasionally","Yes, I make an effort to explore different perspectives.","Yes, completely",yes,yes since it helps people watch content they love most,Watch more videos that relate to what I want to learn and create
2025/03/27 5:06:15 PM GMT+3,YES,Female,Multiple times a day,Entertainment,More than 2 years,3,Often,"Yes, occasionally","Yes, but only slightly",3,Somewhat aware,"Yes, frequently","Sometimes, if I feel the need.",Somehow,"Yes, TikTok’s algorithm can contribute to echo chambers by personalizing content based on user interactions, potentially limiting exposure to diverse viewpoints.","Yes, TikTok should offer more user control over algorithmic recommendations to promote a healthier digital environment, encourage diverse perspectives, and empower users to manage their content consumption more effectively.","I follow accounts from various backgrounds, use hashtags for different topics, and engage with content outside my usual interests to diversify my content exposure."
2025/03/27 5:08:19 PM GMT+3,YES,Female,A few times a week,Entertainment;Staying informed about trends/news;Connecting with friends/community,More than 2 years,4,Sometimes,"Yes, frequently","Yes, but only slightly",2,Somewhat aware,"Yes, occasionally","No, I usually watch what appears on my feed.",Somehow,"Yes, especially in political section","Maybe, If you're just looking at the entertainment aspect, then the recommended ones you like come in handy.",Pay for that
2025/03/28 8:44:59 PM GMT+3,YES,Female,A few times a week,Entertainment,Months  up to 1 year,3,Sometimes,"Yes, occasionally","Yes, but only slightly",3,Very aware,"Yes, occasionally","Sometimes, if I feel the need.",Somehow,Kind of,"Yes, I’m not interested in their recommendations sometimes ",Search some other stuff
2025/03/28 8:52:44 PM GMT+3,YES,Female,Once a week or less,Entertainment,Less than 6 months,4,Sometimes,"Yes, frequently","Yes, significantly",4,Somewhat aware,"Yes, frequently","Yes, I make an effort to explore different perspectives.","Yes, completely",Yes. Especially when I want reach something than they give me tons of the videos. ,"No, because they always gives me some boring videos. But I want more  diversity videos. ",Search out more video I want. 
2025/03/28 8:53:34 PM GMT+3,YES,Male,I do not use TikTok.,Entertainment,Less than 6 months,,,,,,,,,,,,
2025/03/28 9:12:31 PM GMT+3,YES,Male,Multiple times a day,Entertainment;Staying informed about trends/news;Connecting with friends/community,1 to 2 years,4,Often,"Yes, frequently","Yes, but only slightly",4,Somewhat aware,"No, I just watch what’s recommended","Sometimes, if I feel the need.","Yes, completely","Yes, TikTok’s algorithm can create echo chambers by recommending content based on user interactions and interests, which may reinforce existing views and limit exposure to diverse perspectives.","Yes, TikTok should offer more user control to allow users to customize recommendations. This can help prevent echo chambers and give users a more balanced content experience.","I try to follow accounts outside of my usual interests, engage with different topics, and watch a variety of content. This helps me avoid getting stuck in a narrow content loop."
2025/03/28 9:14:16 PM GMT+3,YES,Male,Multiple times a day,Entertainment;Staying informed about trends/news;Connecting with friends/community,1 to 2 years,5,Always,"Yes, frequently","Yes, significantly",2,Somewhat aware,"Yes, occasionally","Sometimes, if I feel the need.",Somehow,"Yes, I often get stuck in a content loop, like fitness or funny stems, and it's hard to jump out","Yes, for example, it allows users to adjust the content categories themselves","I will search for new topics, force multiple likes on different content"
2025/03/28 9:16:30 PM GMT+3,YES,Female,Multiple times a day,Entertainment,More than 2 years,4,Always,"Yes, frequently","Yes, but only slightly",3,Very aware,"Yes, occasionally","Sometimes, if I feel the need.",Somehow,"Yes.  It’s designed to recommend content based on what users engage with—what they like, share, and especially what they watch for longer periods. ",Yes. The user should have opportunities to see different topics of contents.,I tried to search different topics of contents.
2025/03/28 9:16:57 PM GMT+3,YES,Male,A few times a week,Staying informed about trends/news;Following cultural or political discussions,More than 2 years,3,Sometimes,"Yes, occasionally","Yes, but only slightly",3,Very aware,"Yes, frequently","Yes, I make an effort to explore different perspectives.",Somehow,"There is, but it also pushes some opposing viewpoints, depending on the behavior of the interaction",Digital literacy should be enhanced along with platform transparency,I would deliberately search for topics of different political leanings and follow related accounts
